NUMERACION,CONSOLA,TITULO DEL JUEGO,JAPON,AMERICA DEL NORTE,PAL
68,GAME BOY,BATMAN: RETURN OF THE JOKER,RELEASED,RELEASED,RELEASED
69,GAME BOY,BATMAN: THE ANIMATED SERIES,UNRELEASED,RELEASED,RELEASED
70,GAME BOY,BATMAN: THE VIDEO GAME,RELEASED,RELEASED,RELEASED
71,GAME BOY,BATTLE ARENA TOSHINDEN,RELEASED,RELEASED,RELEASED
72,GAME BOY,BATTLE BULL,RELEASED,RELEASED,UNRELEASED
73,GAME BOY,BATTLE CITY,RELEASED,UNRELEASED,UNRELEASED
74,GAME BOY,BATTLE CRUSHER,RELEASED,UNRELEASED,UNRELEASED
75,GAME BOY,BATTLE DODGE BALL,RELEASED,UNRELEASED,UNRELEASED
76,GAME BOY,BATTLE OF KINGDOM,RELEASED,UNRELEASED,UNRELEASED
77,GAME BOY,THE BATTLE OF OLYMPUS,UNRELEASED,UNRELEASED,RELEASED
78,GAME BOY,BATTLE PINGPONG,RELEASED,UNRELEASED,UNRELEASED
79,GAME BOY,BATTLE SPACE,RELEASED,UNRELEASED,UNRELEASED
80,GAME BOY,BATTLE UNIT ZEOTH,RELEASED,RELEASED,RELEASED
81,GAME BOY,BATTLESHIP,RELEASED,RELEASED,RELEASED
82,GAME BOY,BATTLETOADS,RELEASED,RELEASED,RELEASED
83,GAME BOY,BATTLETOADS & DOUBLE DRAGON: THE ULTIMATE TEAM,UNRELEASED,RELEASED,RELEASED
84,GAME BOY,BATTLETOADS IN RAGNAROK'S WORLD,UNRELEASED,RELEASED,RELEASED
85,GAME BOY,BEAVIS AND BUTT-HEAD,UNRELEASED,RELEASED,RELEASED
86,GAME BOY,BEETHOVEN: THE ULTIMATE CANINE CAPER,UNRELEASED,UNRELEASED,RELEASED
87,GAME BOY,BEETLEJUICE,UNRELEASED,RELEASED,UNRELEASED
88,GAME BOY,BEST OF THE BEST: CHAMPIONSHIP KARATE,RELEASED,RELEASED,RELEASED
89,GAME BOY,BIKKURI NEKKETSU SHIN KIROKU! DOKODEMO KIN MEDAL,RELEASED,UNRELEASED,UNRELEASED
90,GAME BOY,BILL & TED'S EXCELLENT GAME BOY ADVENTURE: A BOGUS JOURNEY!,UNRELEASED,RELEASED,RELEASED
91,GAME BOY,BILL ELLIOTT'S NASCAR FAST TRACKS,UNRELEASED,RELEASED,UNRELEASED
92,GAME BOY,BIONIC BATTLER,RELEASED,RELEASED,UNRELEASED
93,GAME BOY,BIONIC COMMANDO,RELEASED,RELEASED,RELEASED
94,GAME BOY,BISHOUJO SENSHI SAILOR MOON,RELEASED,UNRELEASED,UNRELEASED
95,GAME BOY,BISHOUJO SENSHI SAILOR MOON R,RELEASED,UNRELEASED,UNRELEASED
